Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;;Viajero;Residentes en España;2022M07;442.090
Total Nacional;;Viajero;Residentes en España;2022M06;310.336
Total Nacional;;Viajero;Residentes en España;2022M05;269.644
Total Nacional;;Viajero;Residentes en España;2022M04;340.667
Total Nacional;;Viajero;Residentes en España;2022M03;192.243
Total Nacional;;Viajero;Residentes en España;2022M02;188.916
Total Nacional;;Viajero;Residentes en España;2022M01;129.084
Total Nacional;;Viajero;Residentes en España;2021M12;267.455
Total Nacional;;Viajero;Residentes en España;2021M11;222.429
Total Nacional;;Viajero;Residentes en España;2021M10;368.062
Total Nacional;;Viajero;Residentes en España;2021M09;339.826
Total Nacional;;Viajero;Residentes en España;2021M08;550.263
Total Nacional;;Viajero;Residentes en España;2021M07;444.624
Total Nacional;;Viajero;Residentes en España;2021M06;273.018
Total Nacional;;Viajero;Residentes en España;2021M05;168.571
Total Nacional;;Viajero;Residentes en España;2021M04;115.622
Total Nacional;;Viajero;Residentes en España;2021M03;92.575
Total Nacional;;Viajero;Residentes en España;2021M02;31.942
Total Nacional;;Viajero;Residentes en España;2021M01;30.598
Total Nacional;;Viajero;Residentes en España;2020M12;80.114
Total Nacional;;Viajero;Residentes en España;2020M11;.
Total Nacional;;Viajero;Residentes en España;2020M10;151.171
Total Nacional;;Viajero;Residentes en España;2020M09;241.882
Total Nacional;;Viajero;Residentes en España;2020M08;493.393
Total Nacional;;Viajero;Residentes en España;2020M07;387.241
Total Nacional;;Viajero;Residentes en España;2020M06;113.624
Total Nacional;;Viajero;Residentes en España;2020M05;.
Total Nacional;;Viajero;Residentes en España;2020M04;.
Total Nacional;;Viajero;Residentes en España;2020M03;45.841
Total Nacional;;Viajero;Residentes en España;2020M02;200.636
Total Nacional;;Viajero;Residentes en España;2020M01;140.927
Total Nacional;;Viajero;Residentes en España;2019M12;313.967
Total Nacional;;Viajero;Residentes en España;2019M11;271.157
Total Nacional;;Viajero;Residentes en España;2019M10;291.487
Total Nacional;;Viajero;Residentes en España;2019M09;296.409
Total Nacional;;Viajero;Residentes en España;2019M08;513.135
Total Nacional;;Viajero;Residentes en España;2019M07;390.209
Total Nacional;;Viajero;Residentes en España;2019M06;334.150
Total Nacional;;Viajero;Residentes en España;2019M05;271.622
Total Nacional;;Viajero;Residentes en España;2019M04;309.069
Total Nacional;;Viajero;Residentes en España;2019M03;249.268
Total Nacional;;Viajero;Residentes en España;2019M02;172.002
Total Nacional;;Viajero;Residentes en España;2019M01;121.099
Total Nacional;;Viajero;Residentes en España;2018M12;309.788
Total Nacional;;Viajero;Residentes en España;2018M11;254.291
Total Nacional;;Viajero;Residentes en España;2018M10;295.083
Total Nacional;;Viajero;Residentes en España;2018M09;309.483
Total Nacional;;Viajero;Residentes en España;2018M08;478.559
Total Nacional;;Viajero;Residentes en España;2018M07;355.468
Total Nacional;;Viajero;Residentes en España;2018M06;308.092
Total Nacional;;Viajero;Residentes en España;2018M05;238.474
Total Nacional;;Viajero;Residentes en España;2018M04;272.291
Total Nacional;;Viajero;Residentes en España;2018M03;286.691
Total Nacional;;Viajero;Residentes en España;2018M02;165.555
Total Nacional;;Viajero;Residentes en España;2018M01;122.354
Total Nacional;;Viajero;Residentes en España;2017M12;308.404
Total Nacional;;Viajero;Residentes en España;2017M11;200.857
Total Nacional;;Viajero;Residentes en España;2017M10;275.768
Total Nacional;;Viajero;Residentes en España;2017M09;295.266
Total Nacional;;Viajero;Residentes en España;2017M08;454.211
Total Nacional;;Viajero;Residentes en España;2017M07;374.218
Total Nacional;;Viajero;Residentes en España;2017M06;286.697
Total Nacional;;Viajero;Residentes en España;2017M05;226.050
Total Nacional;;Viajero;Residentes en España;2017M04;347.184
Total Nacional;;Viajero;Residentes en España;2017M03;210.366
Total Nacional;;Viajero;Residentes en España;2017M02;168.635
Total Nacional;;Viajero;Residentes en España;2017M01;117.588
Total Nacional;;Viajero;Residentes en el Extranjero;2024M10;124.598
Total Nacional;;Viajero;Residentes en el Extranjero;2024M09;157.003
Total Nacional;;Viajero;Residentes en el Extranjero;2024M08;173.488
Total Nacional;;Viajero;Residentes en el Extranjero;2024M07;165.357
Total Nacional;;Viajero;Residentes en el Extranjero;2024M06;134.815
Total Nacional;;Viajero;Residentes en el Extranjero;2024M05;144.566
Total Nacional;;Viajero;Residentes en el Extranjero;2024M04;108.719
Total Nacional;;Viajero;Residentes en el Extranjero;2024M03;60.869
Total Nacional;;Viajero;Residentes en el Extranjero;2024M02;32.007
Total Nacional;;Viajero;Residentes en el Extranjero;2024M01;24.506
Total Nacional;;Viajero;Residentes en el Extranjero;2023M12;31.875
Total Nacional;;Viajero;Residentes en el Extranjero;2023M11;34.738
Total Nacional;;Viajero;Residentes en el Extranjero;2023M10;101.864
Total Nacional;;Viajero;Residentes en el Extranjero;2023M09;142.493
Total Nacional;;Viajero;Residentes en el Extranjero;2023M08;161.872
