Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;;Viajero;Residentes en el Extranjero;2020M10;11.515
Total Nacional;;Viajero;Residentes en el Extranjero;2020M09;18.043
Total Nacional;;Viajero;Residentes en el Extranjero;2020M08;42.449
Total Nacional;;Viajero;Residentes en el Extranjero;2020M07;41.754
Total Nacional;;Viajero;Residentes en el Extranjero;2020M06;2.874
Total Nacional;;Viajero;Residentes en el Extranjero;2020M05;.
Total Nacional;;Viajero;Residentes en el Extranjero;2020M04;.
Total Nacional;;Viajero;Residentes en el Extranjero;2020M03;10.491
Total Nacional;;Viajero;Residentes en el Extranjero;2020M02;26.194
Total Nacional;;Viajero;Residentes en el Extranjero;2020M01;19.245
Total Nacional;;Viajero;Residentes en el Extranjero;2019M12;27.883
Total Nacional;;Viajero;Residentes en el Extranjero;2019M11;29.297
Total Nacional;;Viajero;Residentes en el Extranjero;2019M10;82.537
Total Nacional;;Viajero;Residentes en el Extranjero;2019M09;122.879
Total Nacional;;Viajero;Residentes en el Extranjero;2019M08;142.802
Total Nacional;;Viajero;Residentes en el Extranjero;2019M07;125.425
Total Nacional;;Viajero;Residentes en el Extranjero;2019M06;104.933
Total Nacional;;Viajero;Residentes en el Extranjero;2019M05;96.131
Total Nacional;;Viajero;Residentes en el Extranjero;2019M04;73.275
Total Nacional;;Viajero;Residentes en el Extranjero;2019M03;39.265
Total Nacional;;Viajero;Residentes en el Extranjero;2019M02;25.122
Total Nacional;;Viajero;Residentes en el Extranjero;2019M01;18.277
Total Nacional;;Viajero;Residentes en el Extranjero;2018M12;24.582
Total Nacional;;Viajero;Residentes en el Extranjero;2018M11;27.399
Total Nacional;;Viajero;Residentes en el Extranjero;2018M10;83.201
Total Nacional;;Viajero;Residentes en el Extranjero;2018M09;112.577
Total Nacional;;Viajero;Residentes en el Extranjero;2018M08;139.412
Total Nacional;;Viajero;Residentes en el Extranjero;2018M07;126.283
Total Nacional;;Viajero;Residentes en el Extranjero;2018M06;98.095
Total Nacional;;Viajero;Residentes en el Extranjero;2018M05;102.796
Total Nacional;;Viajero;Residentes en el Extranjero;2018M04;69.174
Total Nacional;;Viajero;Residentes en el Extranjero;2018M03;40.386
Total Nacional;;Viajero;Residentes en el Extranjero;2018M02;23.319
Total Nacional;;Viajero;Residentes en el Extranjero;2018M01;17.316
Total Nacional;;Viajero;Residentes en el Extranjero;2017M12;22.125
Total Nacional;;Viajero;Residentes en el Extranjero;2017M11;26.805
Total Nacional;;Viajero;Residentes en el Extranjero;2017M10;76.230
Total Nacional;;Viajero;Residentes en el Extranjero;2017M09;109.054
Total Nacional;;Viajero;Residentes en el Extranjero;2017M08;124.314
Total Nacional;;Viajero;Residentes en el Extranjero;2017M07;114.849
Total Nacional;;Viajero;Residentes en el Extranjero;2017M06;90.102
Total Nacional;;Viajero;Residentes en el Extranjero;2017M05;86.723
Total Nacional;;Viajero;Residentes en el Extranjero;2017M04;66.608
Total Nacional;;Viajero;Residentes en el Extranjero;2017M03;30.031
Total Nacional;;Viajero;Residentes en el Extranjero;2017M02;22.189
Total Nacional;;Viajero;Residentes en el Extranjero;2017M01;15.703
Total Nacional;;Pernoctaciones;Total;2024M10;990.897
Total Nacional;;Pernoctaciones;Total;2024M09;1.223.901
Total Nacional;;Pernoctaciones;Total;2024M08;2.408.872
Total Nacional;;Pernoctaciones;Total;2024M07;1.728.726
Total Nacional;;Pernoctaciones;Total;2024M06;1.118.696
Total Nacional;;Pernoctaciones;Total;2024M05;1.029.736
Total Nacional;;Pernoctaciones;Total;2024M04;821.393
Total Nacional;;Pernoctaciones;Total;2024M03;925.051
Total Nacional;;Pernoctaciones;Total;2024M02;486.851
Total Nacional;;Pernoctaciones;Total;2024M01;380.798
Total Nacional;;Pernoctaciones;Total;2023M12;926.332
Total Nacional;;Pernoctaciones;Total;2023M11;599.971
Total Nacional;;Pernoctaciones;Total;2023M10;997.705
Total Nacional;;Pernoctaciones;Total;2023M09;1.223.837
Total Nacional;;Pernoctaciones;Total;2023M08;2.443.781
Total Nacional;;Pernoctaciones;Total;2023M07;1.765.836
Total Nacional;;Pernoctaciones;Total;2023M06;1.059.068
Total Nacional;;Pernoctaciones;Total;2023M05;882.073
Total Nacional;;Pernoctaciones;Total;2023M04;1.168.732
Total Nacional;;Pernoctaciones;Total;2023M03;622.575
Total Nacional;;Pernoctaciones;Total;2023M02;513.034
Total Nacional;;Pernoctaciones;Total;2023M01;410.555
Total Nacional;;Pernoctaciones;Total;2022M12;800.370
Total Nacional;;Pernoctaciones;Total;2022M11;564.253
Total Nacional;;Pernoctaciones;Total;2022M10;960.252
Total Nacional;;Pernoctaciones;Total;2022M09;1.121.535
Total Nacional;;Pernoctaciones;Total;2022M08;2.457.493
Total Nacional;;Pernoctaciones;Total;2022M07;1.816.916
Total Nacional;;Pernoctaciones;Total;2022M06;1.041.399
Total Nacional;;Pernoctaciones;Total;2022M05;846.342
Total Nacional;;Pernoctaciones;Total;2022M04;1.084.253
Total Nacional;;Pernoctaciones;Total;2022M03;525.684
Total Nacional;;Pernoctaciones;Total;2022M02;490.532
Total Nacional;;Pernoctaciones;Total;2022M01;361.309
Total Nacional;;Pernoctaciones;Total;2021M12;765.811
Total Nacional;;Pernoctaciones;Total;2021M11;570.823
Total Nacional;;Pernoctaciones;Total;2021M10;1.095.321
Total Nacional;;Pernoctaciones;Total;2021M09;1.116.298
Total Nacional;;Pernoctaciones;Total;2021M08;2.453.153
Total Nacional;;Pernoctaciones;Total;2021M07;1.705.124
Total Nacional;;Pernoctaciones;Total;2021M06;798.997
Total Nacional;;Pernoctaciones;Total;2021M05;464.569
Total Nacional;;Pernoctaciones;Total;2021M04;330.931
Total Nacional;;Pernoctaciones;Total;2021M03;251.495
Total Nacional;;Pernoctaciones;Total;2021M02;114.811
Total Nacional;;Pernoctaciones;Total;2021M01;111.841
Total Nacional;;Pernoctaciones;Total;2020M12;227.904
Total Nacional;;Pernoctaciones;Total;2020M11;130.492
Total Nacional;;Pernoctaciones;Total;2020M10;398.249
Total Nacional;;Pernoctaciones;Total;2020M09;673.666
Total Nacional;;Pernoctaciones;Total;2020M08;2.109.993
Total Nacional;;Pernoctaciones;Total;2020M07;1.451.102
Total Nacional;;Pernoctaciones;Total;2020M06;277.689
Total Nacional;;Pernoctaciones;Total;2020M05;37.322
Total Nacional;;Pernoctaciones;Total;2020M04;.
Total Nacional;;Pernoctaciones;Total;2020M03;149.317
Total Nacional;;Pernoctaciones;Total;2020M02;493.030
Total Nacional;;Pernoctaciones;Total;2020M01;365.838
Total Nacional;;Pernoctaciones;Total;2019M12;877.322
Total Nacional;;Pernoctaciones;Total;2019M11;644.452
Total Nacional;;Pernoctaciones;Total;2019M10;833.536
Total Nacional;;Pernoctaciones;Total;2019M09;1.063.493
Total Nacional;;Pernoctaciones;Total;2019M08;2.403.090
Total Nacional;;Pernoctaciones;Total;2019M07;1.624.956
Total Nacional;;Pernoctaciones;Total;2019M06;1.054.793
Total Nacional;;Pernoctaciones;Total;2019M05;850.262
Total Nacional;;Pernoctaciones;Total;2019M04;1.018.402
Total Nacional;;Pernoctaciones;Total;2019M03;618.980
Total Nacional;;Pernoctaciones;Total;2019M02;414.959
Total Nacional;;Pernoctaciones;Total;2019M01;321.785
Total Nacional;;Pernoctaciones;Total;2018M12;872.014
Total Nacional;;Pernoctaciones;Total;2018M11;623.269
Total Nacional;;Pernoctaciones;Total;2018M10;905.675
Total Nacional;;Pernoctaciones;Total;2018M09;1.052.592
Total Nacional;;Pernoctaciones;Total;2018M08;2.310.609
Total Nacional;;Pernoctaciones;Total;2018M07;1.542.610
Total Nacional;;Pernoctaciones;Total;2018M06;975.249
Total Nacional;;Pernoctaciones;Total;2018M05;794.924
Total Nacional;;Pernoctaciones;Total;2018M04;815.378
Total Nacional;;Pernoctaciones;Total;2018M03;823.845
Total Nacional;;Pernoctaciones;Total;2018M02;419.586
Total Nacional;;Pernoctaciones;Total;2018M01;321.955
Total Nacional;;Pernoctaciones;Total;2017M12;866.384
Total Nacional;;Pernoctaciones;Total;2017M11;492.787
Total Nacional;;Pernoctaciones;Total;2017M10;871.649
Total Nacional;;Pernoctaciones;Total;2017M09;1.027.460
Total Nacional;;Pernoctaciones;Total;2017M08;2.250.173
Total Nacional;;Pernoctaciones;Total;2017M07;1.547.657
Total Nacional;;Pernoctaciones;Total;2017M06;900.433
Total Nacional;;Pernoctaciones;Total;2017M05;723.110
